mission_id,real_arrival_km,real_arrival_time,speed,arrival_time
2022060973,16,15,105.47,22.4
2022060967,7.9,6,103.91,10.13
2022060965,15.9,19,104.71,23.27
2022060963,23.9,19,101.29,16.55
2022060955,31.8,24,100.04,35.72
2022060952,13.9,13,95.98,22.77
2022060950,29.6,19,102.5,43.23
2022060946,28.7,17,102.59,29.47
2022060943,7.4,5,105.43,16.3
2022060941,3.8,7,95.86,7.65
2022060933,10.7,9,107.15,14.03
2022060926,24.5,17,101.53,33.07
2022060924,17.9,12,89.2,27.62
2022060921,15.8,9,97.37,27.43
2022060920,20.7,12,95.94,13.35
2022060918,25.2,16,96.26,17.28
2022060916,13,9,105.47,12.5
2022060915,26.7,19,99.48,27.27
2022060914,34,23,104.4,19.2
2022060910,31.9,20,98.61,40.85
2022060909,38.1,22,104.4,28.92
2022060903,17.3,11,100.43,27.92
2022060901,24.9,24,97.69,28.68
2022060900,27.7,18,97.72,41.33
2022060899,26.8,18,98.62,40.87
2022060898,20.5,13,103.72,20.82
2022060897,21,14,95.91,20.43
2022060896,30.3,24,104.02,26.55
2022060895,16.9,15,103.39,29.7
2022060894,17.1,11,99.3,19.55
2022060893,13.6,11,104.83,16.08
2022060890,39.7,24,106.63,20.63
2022060889,16.2,13,105.85,19.5
2022060887,21.1,16,106.34,20.92
2022060886,36.7,24,104.68,36.75
2022060882,27.1,25,104.19,38.38
2022060880,19.3,16,103.56,27.1
2022060877,16.1,12,96.11,8.35
2022060872,9,5,81.94,11.88
2022060870,14.7,9,82.14,17.57
2022060867,17.9,15,96.9,11.22
2022060866,33,22,98.4,39.97
2022060865,20.5,16,83.94,25.32
2022060864,14.6,14,101.79,25.05
2022060862,10.3,7,101.08,13.65
2022060861,59.4,41,102.38,115.83
2022060860,21.2,16,101.29,24.22
2022060859,29.8,22,92.64,26.77
2022060856,6.9,6,101.34,15.8
2022060854,33,24,92.09,38.65
2022060853,18.4,13,85.16,10.4
2022060852,25.4,17,100.76,43.33
2022060848,40.7,23,101.28,42.07
2022060845,13.9,9,105.41,9.08
2022060844,15.2,10,104.94,19.05
2022060840,22.6,17,77.31,18.42
2022060839,13.8,10,97.55,27.88
2022060838,17.8,12,101.78,21.48
2022060836,19.1,11,102.89,23.58
2022060835,39.7,24,103.22,36.4
2022060833,11.3,9,101.67,6.37
2022060830,11.1,9,101.9,12.1
2022060828,18,13,100.38,31.75
2022060823,45.4,28,97.25,32.37
2022060822,31.8,19,106.7,24.67
2022060820,8.7,6,102.8,14.18
2022060817,13.1,9,106.71,18.75
2022060811,11.8,18,108.8,16.1
2022060809,15.7,14,98.75,22.15
2022060806,26.3,20,101.07,14.62
2022060805,29.8,23,101.52,27.25
2022060804,14.3,9,107.15,9.52
2022060803,31.3,23,109.01,18.2
2022060801,26,17,95.25,23.75
2022060800,21.7,17,100.42,20.7
2022060797,15,11,92.01,20.23
2022060794,23.5,20,105.55,14.15
2022060792,22.3,16,102.86,38.48
2022060787,15.5,15,107.85,15.87
2022060783,16.9,11,110.3,19.82
2022060776,23.4,16,106.21,26.57
2022060774,16.6,12,103.25,19.77
2022060770,28.1,16,112.82,14
2022060769,30.5,24,101.76,31.58
2022060767,0.6,1,107.44,0.87
2022060766,20.2,17,111.07,18.43
2022060761,20.7,17,107.89,21.33
2022060751,9.6,7,108.77,12.07
2022060750,14.2,12,108.92,17.98
2022060748,10.6,8,109.91,8.95
