mission_id,real_arrival_km,real_arrival_time,speed,arrival_time,cluster
2022050918,8.7,6,107.3,8.97,2
2022050901,15,9,97.8,17.1,2
2022050898,10.2,7,102.97,21.85,2
2022050897,8.8,7,101.8,6.15,2
2022050894,19.3,13,97.17,14.03,2
2022050889,13.8,9,97.24,16.22,2
2022050880,13.8,12,107.13,8.42,2
2022050861,8.5,8,100.1,13.7,2
2022050860,10.8,6,111.48,10.05,2
2022050852,16.7,18,99.73,14.1,2
2022050850,8.4,15,101.66,16.52,2
2022050837,9.2,10,105.77,8.28,2
2022050828,16.7,11,108.84,16.27,2
2022050825,16.1,11,104.66,15.32,2
2022050813,11.3,7,108.93,9.6,2
2022050810,10.2,6,107.9,7.92,2
2022050804,7.8,7,99.15,14.63,2
2022050800,9,10,104.43,8.48,2
2022050799,13.5,11,109.35,10.33,2
2022050798,13,9,104.9,18.12,2
2022050793,15,14,102.48,12.03,2
2022050792,12.1,7,103.07,8.4,2
2022050771,7.9,6,100.67,9.37,2
2022050762,10.7,9,100.37,9.78,2
2022050751,3.9,3,103.7,3.03,2
2022050728,10.2,13,107.96,19.55,2
2022050703,14.8,12,91.02,17.98,2
2022050699,4,7,105.07,5.53,2
2022050690,15.7,13,100.2,13.73,2
2022050669,5.8,8,104.17,10.87,2
2022050626,7.9,5,106.54,16.62,2
2022050609,13.7,13,102.96,19.12,2
2022050599,10.5,17,111,19.17,2
2022050592,3.9,4,96.45,2.77,2
2022050582,10.7,9,99,7.23,2
2022050563,11.9,8,101.1,14.93,2
2022050560,15.5,13,103.54,17.77,2
2022050544,11.2,10,107.98,18.97,2
2022050535,11.8,8,107.1,10.78,2
2022050534,6.5,6,106.05,3.28,2
2022050517,15,9,103.23,7.72,2
2022050512,10.4,10,101.88,10.2,2
2022050502,11.6,9,106.45,11.92,2
2022050491,9.6,7,104.88,15,2
2022050490,15.8,13,109.63,13.47,2
2022050484,14.3,12,104.5,14.58,2
2022050483,15.3,9,102.98,13.37,2
2022050478,15.9,11,101.98,14.63,2
2022050477,13.8,8,103.97,9.85,2
2022050476,15.7,13,106.36,17.3,2
2022050468,8.8,7,105.4,15.42,2
2022050467,10.9,9,102.2,9.38,2
2022050450,7.2,5,94.66,16.2,2
2022050448,13.1,9,111.76,18.23,2
2022050444,12.2,12,99.8,15.57,2
2022050440,12.3,9,103.57,20.12,2
2022050437,7.8,7,91.73,10.55,2
2022050435,6.1,4,103.33,8.65,2
2022050425,15.5,14,100.86,16.1,2
2022050413,15.9,14,104.53,8.87,2
2022050411,10.3,16,111.25,13.03,2
2022050401,17,12,106.17,13.22,2
2022050400,10.2,9,105.05,13.75,2
2022050397,15.9,11,100.35,14.28,2
2022050391,12.3,9,96.74,19.08,2
2022050374,12.9,9,100.42,18.65,2
2022050360,5.3,4,103.1,9.53,2
2022050351,11.7,8,107.55,11.2,2
2022050342,15.7,11,88.1,16.47,2
2022050339,13.1,9,95.82,14.03,2
2022050311,6.1,8,100.03,8.07,2
2022050309,10,7,101.77,6.73,2
2022050304,11.3,8,104.66,19.47,2
2022050296,9.1,5,104.58,16.5,2
2022050288,4.2,3,103.8,3.78,2
2022050282,11.1,8,104.2,21.95,2
2022050272,15.7,11,103.46,15.8,2
2022050246,12.9,8,100.72,19.92,2
2022050241,11.4,7,103.44,15,2
2022050237,5.4,3,100.05,4.13,2
2022050235,3.7,2,104.1,2.65,2
2022050225,11.1,8,106.23,6,2
2022050187,13.4,12,106.66,18.88,2
2022050160,17.5,15,103.3,12.57,2
2022050157,8.6,9,105.85,12.35,2
2022050154,11.1,8,96.63,13.87,2
2022050151,9.7,10,100.3,14.75,2
2022050149,10.6,7,98.97,13.05,2
2022050146,14.2,10,103.25,11.22,2
2022050144,9.1,10,104.72,19.85,2
2022050127,16.4,9,102.9,8.73,2
2022050117,15.5,11,100.77,8.9,2
2022050116,3.7,6,98.23,8.6,2
2022050113,10.8,11,103.33,9.9,2
2022050111,18,10,112.53,9.57,2
2022050104,9.8,8,102.38,14.08,2
2022050103,14.1,9,101.72,15.92,2
2022050102,16.8,10,113.07,8.98,2
2022050098,12.3,9,104.64,19.75,2
2022050062,6.6,6,104.3,5.58,2
2022050061,12,12,95.94,17.58,2
2022050060,4.7,5,104.8,3.53,2
2022050055,10.2,10,108,10.22,2
2022050043,15.3,12,101.3,12.45,2
2022050034,15.3,9,97.88,16.35,2
2022050018,15.8,14,104,8.28,2
2022050003,15.1,10,102.4,9.52,2
2022041955,14.9,11,104.34,14.9,2
2022041946,12.3,9,100.75,18.6,2
2022041939,5.5,5,78.99,10.38,2
2022041937,6.1,4,108.65,10.07,2
2022041916,18.2,12,107.2,9.47,2
2022041912,12.5,10,109.69,13.5,2
2022041888,14.1,9,100.12,14.02,2
2022041883,11.5,8,100.43,21.38,2
2022041874,18,18,100.05,14.07,2
2022041842,7.4,5,100.66,15.97,2
2022041822,14.8,11,95.99,11.58,2
2022041800,16.1,15,111.14,17.18,2
2022041779,11.2,7,99.04,8.1,2
2022041775,11.2,8,104.14,11,2
2022041770,8.2,6,98.45,16.38,2
2022041765,10.9,7,97.77,16.5,2
2022041754,0.8,1,90.13,0.42,2
2022041752,12.3,8,102.65,16.55,2
2022041738,17.2,16,109.85,12.3,2
2022041731,20.4,15,108.18,10.33,2
2022041730,11.8,7,108.26,9.28,2
2022041704,9.1,10,98.88,13.25,2
2022041668,13,11,107.73,15.2,2
2022041651,10.1,10,95.56,15.2,2
2022041637,7.7,4,101.06,9.5,2
2022041628,16.3,10,103.51,15.33,2
2022041627,5,3,100.27,3.25,2
2022041619,7.9,8,95.35,10.82,2
2022041578,7.8,7,100.19,9.3,2
2022041567,9.5,16,103.98,18.88,2
2022041566,12.4,11,109.84,12.78,2
2022041536,14.3,23,101.6,18.5,2
2022041520,16.2,11,85.65,11.47,2
2022041508,14.8,10,91.59,15.42,2
2022041505,17,10,102.68,14.27,2
2022041504,16.5,13,104.1,13.68,2
2022041446,12.7,10,99.75,13.25,2
2022041445,15.9,12,101.25,13.33,2
